date,description,amount
2024-01-15,Grocery Store,-85.50
2024-01-14,Monthly Salary,3500.00
2024-01-13,Netflix Subscription,-15.99
2024-01-12,Gas Station,-45.00
2024-01-11,Restaurant Dinner,-65.00
2024-01-10,Uber Ride,-22.50
2024-01-09,Amazon Purchase,-89.99
2024-01-08,Coffee Shop,-6.75
2024-01-07,Electric Bill,-125.00
2024-01-06,Gym Membership,-49.99
2024-01-05,Freelance Project,750.00
2024-01-04,Target Shopping,-156.32
2024-01-03,Phone Bill,-85.00
2024-01-02,Movie Tickets,-32.00
2024-01-01,New Year Dinner,-120.00
2023-12-31,Bonus Payment,1000.00
2023-12-30,Grocery Store,-92.45
2023-12-29,Gas Station,-52.00
2023-12-28,Online Course,-199.00
2023-12-27,Pharmacy,-35.50
2023-12-26,Restaurant Lunch,-28.00
2023-12-25,Gift Purchase,-150.00
2023-12-24,Uber Eats Order,-42.50
2023-12-23,Spotify Premium,-9.99
2023-12-22,Parking Fee,-15.00
2023-12-21,Doctor Visit,-75.00
2023-12-20,Internet Bill,-79.99
2023-12-19,Grocery Store,-78.25
2023-12-18,Coffee Shop,-5.50
2023-12-17,Dividend Payment,125.00
2023-12-16,Home Depot,-234.00
2023-12-15,Monthly Salary,3500.00
